Date,Population (P),Cumulative_cases,Cumulative_deaths
9/28/2021 0:00,10257557,1406264,26180
9/29/2021 0:00,10257557,1407553,26200
9/30/2021 0:00,10257557,1408776,26212
10/1/2021 0:00,10257557,1409985,26232
10/2/2021 0:00,10257557,1410750,26258
10/3/2021 0:00,10257557,1411362,26273
10/4/2021 0:00,10257557,1412622,26289
10/5/2021 0:00,10257557,1413743,26311
10/6/2021 0:00,10257557,1414886,26328
10/7/2021 0:00,10257557,1415843,26348
10/8/2021 0:00,10257557,1416799,26368
10/9/2021 0:00,10257557,1417460,26375
10/10/2021 0:00,10257557,1418046,26384
10/11/2021 0:00,10257557,1419234,26397
10/12/2021 0:00,10257557,1420280,26414
10/13/2021 0:00,10257557,1421340,26426
10/14/2021 0:00,10257557,1422397,26441
10/15/2021 0:00,10257557,1423383,26452
10/16/2021 0:00,10257557,1424069,26475
10/17/2021 0:00,10257557,1424722,26490
10/18/2021 0:00,10257557,1426058,26501
10/19/2021 0:00,10257557,1427301,26510
10/20/2021 0:00,10257557,1428548,26520
10/21/2021 0:00,10257557,1429666,26535
10/22/2021 0:00,10257557,1430787,26548
10/23/2021 0:00,10257557,1431552,26561
10/24/2021 0:00,10257557,1432228,26574
10/25/2021 0:00,10257557,1433662,26586
10/26/2021 0:00,10257557,1435017,26599
10/27/2021 0:00,10257557,1436356,26611
10/28/2021 0:00,10257557,1437585,26626
10/29/2021 0:00,10257557,1438722,26637
10/30/2021 0:00,10257557,1439563,26651
10/31/2021 0:00,10257557,1440285,26663
11/1/2021 0:00,10257557,1441837,26677
11/2/2021 0:00,10257557,1443223,26691
11/3/2021 0:00,10257557,1444665,26702
11/4/2021 0:00,10257557,1446017,26718
11/5/2021 0:00,10257557,1447323,26734
11/6/2021 0:00,10257557,1448146,26746
11/7/2021 0:00,10257557,1448917,26760
11/8/2021 0:00,10257557,1450405,26771
11/9/2021 0:00,10257557,1451743,26790
11/10/2021 0:00,10257557,1452996,26810
11/11/2021 0:00,10257557,1453947,26826
